Sample in Buffer,Sample in Window,TRIGGER,design_1_wrapper_inst/design_1_i/system_ila_2/inst/SLOT_0_JESD204_TX_BUS_txcharisk_1[3:0],design_1_wrapper_inst/design_1_i/system_ila_2/inst/SLOT_0_JESD204_TX_BUS_txdata_1[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX
317,317,0,0,cf5f5d65
318,318,0,0,c383a0c0
319,319,0,0,3c338a08
320,320,0,0,38ff8baa
321,321,0,0,600f9002
322,322,0,0,82cb4023
323,323,0,0,21960fb9
324,324,0,0,923ac774
325,325,0,0,63436f9f
326,326,0,0,b63b498b
327,327,0,0,b355b799
328,328,0,0,f00da8fd
329,329,0,0,c2e8202c
330,330,0,0,2e2f8d72
331,331,0,0,554ee6e2
332,332,0,0,0cdcfda5
333,333,0,0,ffb02ac8
334,334,0,0,04cc01a2
335,335,0,0,58f01ba8
336,336,0,0,e2c4d021
337,337,0,0,a35d4f9a
338,338,0,0,b3acc8cd
339,339,0,0,f179a8eb
340,340,0,0,d5782614
341,341,0,0,056efe12
342,342,0,0,43581f64
343,343,0,0,32e588d1
344,344,0,0,ecc7ad5e
345,345,0,0,7b616b90
346,346,0,0,59921b47
347,347,0,0,f36cd76d
348,348,0,0,fb7c2b6a
349,349,0,0,5c3c1a0a
350,350,0,0,ba34cb89
351,351,0,0,41999fbb
352,352,0,0,10f18757
353,353,0,0,42d56026
354,354,0,0,24018eff
355,355,0,0,d016d806
356,356,0,0,4636e176
357,357,0,0,71bd97b5
358,358,0,0,de22258f
359,359,0,0,97a6c6ce
360,360,0,0,22f370d7
361,361,0,0,aafecc2a
362,362,0,0,0810fc07
363,363,0,0,a7403160
364,364,0,0,e608d183
365,365,0,0,fbad5432
366,366,0,0,516818ec
367,367,0,0,5224e771
368,368,0,0,66d4eed9
369,369,0,0,f41756f9
370,370,0,0,96203970
371,371,0,0,378b76c3
372,372,0,0,af9fb23a
373,373,0,0,4984e341
374,374,0,0,b555b619
375,375,0,0,880dbcfd
376,376,0,0,a2ee302d
377,377,0,0,af50cd67
378,378,0,0,4148e0e3
379,379,0,0,1da585b1
380,380,0,0,aac54cde
381,381,0,0,034cff9d
382,382,0,0,34f009a8
383,383,0,0,92c3b820
384,384,0,0,62376f89
385,385,0,0,a1ab4fb3
386,386,0,0,9814c4f9
387,387,0,0,e61b517b
388,388,0,0,fcd15558
389,389,0,0,3d580ae4
390,390,0,0,2ae38cd0
391,391,0,0,0dbefd4a
392,392,0,0,ee182d84
393,393,0,0,5ced6552
394,394,0,0,b760c96f
395,395,0,0,a989b343
396,396,0,0,37bcf635
397,397,0,0,a633b188
398,398,0,0,f0f4d7a9
399,399,0,0,c39c203a
400,400,0,0,39bf8b4a
401,401,0,0,7e0f9582
402,402,0,0,1aca0423
403,403,0,0,c1895fbc
404,404,0,0,17bb8634
405,405,0,0,275d719a
406,406,0,0,e3a6d0ce
407,407,0,0,b2f548d6
408,408,0,0,eb8dac3d
409,409,0,0,1ee97a2c
410,410,0,0,9e354576
411,411,0,0,918f47bd
412,412,0,0,56c76621
413,413,0,0,3368f793
414,414,0,0,fa23ab70
415,415,0,0,47b01ec8
416,416,0,0,64c591a1
417,417,0,0,db435b9f
418,418,0,0,d632d988
419,419,0,0,30e6f7ae
420,420,0,0,c4fba154
421,421,0,0,51539818
422,422,0,0,5978e4eb
423,423,0,0,f564d611
424,424,0,0,80dc3f5a
425,425,0,0,0fba02cb
426,426,0,0,c748219c
427,427,0,0,65af91b2
428,428,0,0,c94b5ce3
429,429,0,0,bd93b5b8
430,430,0,0,23758f69
431,431,0,0,bf86ca3e
432,432,0,0,0d718217
433,433,0,0,e6d42e26
434,434,0,0,f41d56fa
435,435,0,0,95a8394c
436,436,0,0,082b7cf3
437,437,0,0,ac1c32fa
438,438,0,0,75b8e94b
439,439,0,0,8f663d91
440,440,0,0,c8f22357
441,441,0,0,a2e7b02e
442,442,0,0,ace4cd51
443,443,0,0,74d8e95b
444,444,0,0,9ee63ad1
445,445,0,0,9cf34557
446,446,0,0,b2f74829
447,447,0,0,eba5ac31
448,448,0,0,12c978dc
449,449,0,0,61b56fb6
450,450,0,0,9d8345bf
451,451,0,0,a4374e09
452,452,0,0,d9a4dbb1
453,453,0,0,faded4da
454,454,0,0,47941ec6
455,455,0,0,6a159379
456,456,0,0,0e037d7f
457,457,0,0,d83c240a
458,458,0,0,ea3ed38a
459,459,0,0,02157f86
460,460,0,0,2e040d7e
461,461,0,0,5952e418
462,462,0,0,f96cd4ed
463,463,0,0,737c176a
464,464,0,0,fc362a09
465,465,0,0,39b40bb6
466,466,0,0,7d9395b8
467,467,0,0,237a0f6b
468,468,0,0,bd4aca1c
469,469,0,0,2d818dbf
470,470,0,0,6416ee06
471,471,0,0,d63f5975
472,472,0,0,3202f780
473,473,0,0,e82bac0c
474,474,0,0,2c1172f8
475,475,0,0,7756e966
476,476,0,0,a03e30f5
477,477,0,0,8a10c387
478,478,0,0,8f4a3d63
479,479,0,0,c58221bf
480,480,0,0,44279e0e
481,481,0,0,5ee99ad3
482,482,0,0,9e30c577
483,483,0,0,90cb47a3
484,484,0,0,499763b9
485,485,0,0,b229b773
486,486,0,0,e43daef5
487,487,0,0,da295b8c
488,488,0,0,c43adef4
489,489,0,0,5b479b9e
490,490,0,0,d768d993
491,491,0,0,2a2ef372
492,492,0,0,055afee4
493,493,0,0,4ac81cdc
494,494,0,0,81a5bfb1
495,495,0,0,1ace04dd
496,496,0,0,c0d95fa4
497,497,0,0,0efb82d4
498,498,0,0,d95c241a
499,499,0,0,fbbed4ca
500,500,0,0,56141986
501,501,0,0,3e14f579
502,502,0,0,1e138578
503,503,0,0,9f7d456a
504,504,0,0,8c2f420d
505,505,0,0,fd462ae1
506,506,0,0,2f740d96
507,507,0,0,4f92e238
508,508,0,0,cb6da36d
509,509,0,0,9b6bbb6c
510,510,0,0,da175b79
511,511,0,0,ce22dd70
512,512,0,0,d7a7a6ce
513,513,0,0,22e2f0d0
514,514,0,0,adaacd4c
515,515,0,0,6800ecff
516,516,0,0,20077001
517,517,0,0,816ec012
518,518,0,0,13520767
519,519,0,0,716968ec
520,520,0,0,d2322777
521,521,0,0,60e6efae
522,522,0,0,84ff4155
523,523,0,0,50061801
524,524,0,0,417ce015
525,525,0,0,14358609
526,526,0,0,19857bbe
527,527,0,0,f545561e
528,528,0,0,8f483d9c
529,529,0,0,c5aa21b3
530,530,0,0,48079cfe
531,531,0,0,a169b013
532,532,0,0,923cc775
533,533,0,0,623b6f8b
534,534,0,0,a35b4f9b
535,535,0,0,b2d4c8d9
536,536,0,0,e419aefb
537,537,0,0,d4f95954
538,538,0,0,117af814
539,539,0,0,5549661c
540,540,0,0,0db0fdb7
541,541,0,0,ecc02da0
542,542,0,0,7a0d6b82
543,543,0,0,4ae21c2f
544,544,0,0,8dadbd4d
545,545,0,0,e96e2ced
546,546,0,0,33557766
547,547,0,0,f007a8fe
548,548,0,0,c1602010
549,549,0,0,118f8742
550,550,0,0,56cd6622
551,551,0,0,30e0f7af
552,552,0,0,c583a140
553,553,0,0,44339e08
554,554,0,0,58f99bab
555,555,0,0,e170d017
556,556,0,0,96cd4622
557,557,0,0,30ef77ad
558,558,0,0,c74fa162
559,559,0,0,64c391a0
560,560,0,0,da3b5b8b
561,561,0,0,c352df98
562,562,0,0,316788ee
563,563,0,0,d0efa752
564,564,0,0,4742e160
565,565,0,0,662d918d
566,566,0,0,f56356ef
567,567,0,0,81b03f48
568,568,0,0,1cca05a3
569,569,0,0,b9894bbc
570,570,0,0,77bd9635
571,571,0,0,a622318f
572,572,0,0,f7a0d6cf
573,573,0,0,a38c30c2
574,574,0,0,bef8ca2b
575,575,0,0,19698413
576,576,0,0,f2355776
577,577,0,0,e1882fbc
578,578,0,0,97ad4632
579,579,0,0,216f70ed
580,580,0,0,934ec762
581,581,0,0,74d369a7
582,582,0,0,9d7a3aeb
583,583,0,0,a5434e1f
584,584,0,0,ce34dd89
585,585,0,0,d19fa7ba
586,586,0,0,5182e740
587,587,0,0,542ce60d
588,588,0,0,1d74fae9
589,589,0,0,a7914e38
590,590,0,0,eb5cd365
591,591,0,0,13bd78ca
592,592,0,0,7625698e
593,593,0,0,b6c236df
594,594,0,0,b221b78f
