Sample in Buffer,Sample in Window,TRIGGER,design_1_wrapper_inst/design_1_i/system_ila_1/inst/SLOT_0_JESD204_RX_BUS_rxcharisk_1[3:0],design_1_wrapper_inst/design_1_i/system_ila_1/inst/SLOT_0_JESD204_RX_BUS_rxdata_1[31:0],design_1_wrapper_inst/design_1_i/system_ila_1/inst/SLOT_0_JESD204_RX_BUS_rxdisperr_1[3:0],design_1_wrapper_inst/design_1_i/system_ila_1/inst/SLOT_0_JESD204_RX_BUS_rxnotintable_1[3:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,BINARY,HEX,HEX,HEX
269,269,0,0000,bf57b566,0,0
270,270,0,0000,002580f1,0,0
271,271,0,0000,0ec402de,0,0
272,272,0,0000,d3502798,0,0
273,273,0,0000,714ee8e2,0,0
274,274,0,0000,dcde25a5,0,0
275,275,0,0000,bf96cac6,0,0
276,276,0,0000,0a318377,0,0
277,277,0,0000,80d43fa6,0,0
278,278,0,0000,0c1a02fb,0,0
279,279,0,0000,f4c8295c,0,0
280,280,0,0000,99ac3bb2,0,0
281,281,0,0000,f97b54eb,0,0
282,282,0,0000,75501618,0,0
283,283,0,0000,89463ce1,0,0
284,284,0,0000,bf723597,0,0
285,285,0,0000,0ee1822f,0,0
286,286,0,0000,dd942546,0,0
287,287,0,0000,a21ecf7a,0,0
288,288,0,0000,ad90cd47,0,0
289,289,0,0000,6348ef63,0,0
290,290,0,0000,b5a749b1,0,0
291,291,0,0000,8ae5bcd1,0,0
292,292,0,0000,8cce3d5d,0,0
293,293,0,0000,f8d22ba7,0,0
294,294,0,0000,6d6412ee,0,0
295,295,0,0000,60d76f59,0,0
296,296,0,0000,8c2b42f3,0,0
297,297,0,0000,fc162af9,0,0
298,298,0,0000,36340976,0,0
299,299,0,0000,b193b7b8,0,0
300,300,0,0000,d375a769,0,0
301,301,0,0000,7f8aea3c,0,0
302,302,0,0000,0f8e023d,0,0
303,303,0,0000,ced82224,0,0
304,304,0,0000,d6efa6d2,0,0
305,305,0,0000,3f42f560,0,0
306,306,0,0000,062b818c,0,0
307,307,0,0000,741c16fa,0,0
308,308,0,0000,95b63949,0,0
309,309,0,0000,0db37db7,0,0
310,310,0,0000,ecfc2daa,0,0
311,311,0,0000,703d680a,0,0
312,312,0,0000,ca22238f,0,0
313,313,0,0000,87a7bece,0,0
314,314,0,0000,62e610d1,0,0
315,315,0,0000,acff4d55,0,0
316,316,0,0000,7004e801,0,0
317,317,0,0000,c1562019,0,0
318,318,0,0000,183784f6,0,0
319,319,0,0000,e9ad53b2,0,0
320,320,0,0000,396974ec,0,0
321,321,0,0000,72379776,0,0
322,322,0,0000,e1aa2fb3,0,0
323,323,0,0000,980544fe,0,0
324,324,0,0000,e14f501d,0,0
325,325,0,0000,9cc145a0,0,0
326,326,0,0000,ba1f4b85,0,0
327,327,0,0000,4d859d41,0,0
328,328,0,0000,e541ae1f,0,0
329,329,0,0000,ce195d84,0,0
330,330,0,0000,dcfba554,0,0
331,331,0,0000,b152c818,0,0
332,332,0,0000,d961a4ef,0,0
333,333,0,0000,f19ad744,0,0
334,334,0,0000,d0c4275e,0,0
335,335,0,0000,4b5ee39a,0,0
336,336,0,0000,939db8c5,0,0
337,337,0,0000,79af6b4d,0,0
338,338,0,0000,794a14e3,0,0
339,339,0,0000,7d8e15bd,0,0
340,340,0,0000,26de0e25,0,0
341,341,0,0000,f79ad6c4,0,0
342,342,0,0000,a8c4335e,0,0
343,343,0,0000,2b58f39b,0,0
344,344,0,0000,12e2f8d0,0,0
345,345,0,0000,6da96d4c,0,0
346,346,0,0000,68336cf7,0,0
347,347,0,0000,28fb73ab,0,0
348,348,0,0000,215ef01a,0,0
349,349,0,0000,9b9ac4c4,0,0
350,350,0,0000,d8c35b5f,0,0
351,351,0,0000,ea32d388,0,0
352,352,0,0000,00e57fae,0,0
353,353,0,0000,04c4015e,0,0
354,354,0,0000,5b501b98,0,0
355,355,0,0000,d144d8e1,0,0
356,356,0,0000,5f5ee59a,0,0
357,357,0,0000,839cc0c5,0,0
358,358,0,0000,39ba0b4b,0,0
359,359,0,0000,7f4b959c,0,0
360,360,0,0000,059a01bb,0,0
361,361,0,0000,40c81f5c,0,0
362,362,0,0000,09a583b1,0,0
363,363,0,0000,bac434de,0,0
364,364,0,0000,43599f9b,0,0
365,365,0,0000,32f188d7,0,0
366,366,0,0000,ead7ac26,0,0
367,367,0,0000,04217ef0,0,0
368,368,0,0000,5f941ac6,0,0
369,369,0,0000,8a14c379,0,0
370,370,0,0000,8e1a3d7b,0,0
371,371,0,0000,dcc2255f,0,0
372,372,0,0000,ba26cb8e,0,0
373,373,0,0000,46f19ed7,0,0
374,374,0,0000,7ad19427,0,0
375,375,0,0000,45521ee7,0,0
376,376,0,0000,496d9ced,0,0
377,377,0,0000,b361b76f,0,0
378,378,0,0000,f99dab45,0,0
379,379,0,0000,71a8174c,0,0
380,380,0,0000,d82624f1,0,0
381,381,0,0000,eef6d2d6,0,0
382,382,0,0000,5bb56436,0,0
383,383,0,0000,d580d9bf,0,0
384,384,0,0000,040efe02,0,0
385,385,0,0000,52d81824,0,0
386,386,0,0000,66e4eed1,0,0
387,387,0,0000,fcd75559,0,0
