Sample in Buffer,Sample in Window,TRIGGER,emif_uart_exc_inst/uart_tx_data[7:0],emif_uart_exc_inst/uart_tx_data_valid,emif_uart_exc_inst/uart_rx_data[7:0],emif_uart_exc_inst/uart_rx_data_valid,emif_uart_exc_inst/emif_2_uart_din[7:0],emif_uart_exc_inst/emif_2_uart_wr_en,emif_uart_exc_inst/emif_2_uart_rd_en,emif_uart_exc_inst/emif_2_uart_dout[7:0],emif_uart_exc_inst/emif_uart_state[2:0],emif_uart_exc_inst/svm570_emif_2_uart_start,emif_uart_exc_inst/svm570_emif_2_uart_end,emif_uart_exc_inst/svm570_emif_2_uart_valid,emif_uart_exc_inst/svm570_emif_2_uart_data[7:0],emif_uart_exc_inst/emif_uart_rd,emif_uart_exc_inst/emif_uart_data[7:0],emif_uart_exc_inst/uart_4008_data_valid
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
235,235,0,eb,0,00,0,00,0,0,90,3,0,0,0,d7,0,00,1
236,236,0,eb,0,00,0,00,0,0,90,3,0,0,0,d7,0,00,1
237,237,0,eb,0,00,0,00,0,0,90,3,0,0,0,d7,0,00,1
238,238,0,eb,0,00,0,00,0,0,90,3,0,0,0,d7,0,00,1
239,239,0,eb,0,00,0,00,0,0,90,3,0,0,0,d7,0,00,1
240,240,0,eb,0,00,0,00,0,0,90,3,0,0,0,d7,0,00,1
241,241,0,eb,0,00,0,00,0,0,90,3,0,0,0,d7,0,00,1
242,242,0,eb,0,00,0,00,0,0,90,3,0,0,0,d7,0,00,1
243,243,0,eb,0,00,0,00,0,0,90,3,0,0,0,d7,0,00,1
244,244,0,eb,0,00,0,00,0,0,90,3,0,0,0,d7,0,00,1
245,245,0,eb,0,00,0,00,0,0,90,3,0,0,0,d7,0,00,1
246,246,0,eb,0,00,0,00,0,0,90,3,0,0,0,d7,0,00,1
247,247,0,eb,0,00,0,00,0,0,90,3,0,0,0,d7,0,00,1
248,248,0,eb,0,00,0,00,0,0,90,3,0,0,0,d7,0,00,1
249,249,0,eb,0,00,0,00,0,0,90,3,0,0,0,d7,0,00,1
250,250,0,eb,0,00,0,00,0,0,90,3,0,0,0,d7,0,00,1
251,251,0,eb,0,00,0,00,0,0,90,3,0,0,0,d7,0,00,1
252,252,0,eb,0,00,0,00,0,0,90,3,0,0,0,d7,0,00,1
253,253,0,eb,0,00,0,00,0,0,90,3,0,0,0,d7,0,00,1
254,254,0,eb,0,00,0,00,0,0,90,3,0,0,0,d7,0,00,1
255,255,0,eb,0,00,0,00,0,0,90,3,0,0,0,d7,0,00,1
256,256,0,eb,0,00,0,00,0,0,90,3,0,0,0,d7,0,00,1
257,257,0,eb,0,00,0,00,0,0,90,3,0,0,0,d7,0,00,1
258,258,0,eb,0,00,0,00,0,0,90,3,0,0,0,d7,0,00,1
259,259,0,eb,0,00,0,00,0,0,90,3,0,0,0,d7,0,00,1
260,260,0,eb,0,00,0,00,0,0,90,3,0,0,0,d7,0,00,1
261,261,0,eb,0,00,0,00,0,0,90,3,0,0,0,d7,0,00,1
262,262,0,eb,0,00,0,00,0,0,90,3,0,0,0,d7,0,00,1
263,263,0,eb,0,00,0,00,0,0,90,3,0,0,0,d7,0,00,1
264,264,0,eb,0,00,0,00,0,0,90,3,0,0,0,d7,0,00,1
265,265,0,eb,0,00,0,00,0,0,90,3,0,0,0,d7,0,00,1
266,266,0,eb,0,00,0,00,0,0,90,3,0,0,0,d7,0,00,1
267,267,0,eb,0,00,0,00,0,0,90,3,0,0,0,d7,0,00,1
268,268,0,eb,0,00,0,00,0,0,90,3,0,0,0,d7,0,00,1
269,269,0,eb,0,00,0,00,0,0,90,3,0,0,0,d7,0,00,1
270,270,0,eb,0,00,0,00,0,0,90,3,0,0,0,d7,0,00,1
271,271,0,eb,0,00,0,00,0,0,90,3,0,0,0,d7,0,00,1
272,272,0,eb,0,00,0,00,0,0,90,3,0,0,0,d7,0,00,1
273,273,0,eb,0,00,0,00,0,0,90,3,0,0,0,d7,0,00,1
274,274,0,eb,0,00,0,00,0,0,90,3,0,0,0,d7,0,00,1
275,275,0,eb,0,00,0,00,0,0,90,3,0,0,0,d7,0,00,1
276,276,0,eb,0,00,0,00,0,0,90,3,0,0,0,d7,0,00,1
277,277,0,eb,0,00,0,00,0,0,90,3,0,0,0,d7,0,00,1
