Sample in Buffer,Sample in Window,TRIGGER,top_jesd204_inst/rx_data[255:0],top_jesd204_inst/rx_valid,top_jesd204_inst/sys_rst_n,top_jesd204_inst/rx_sync_0,top_jesd204_inst/sysref,top_jesd204_inst/rst_204
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX
72,72,0,39f3257357f887c0400867f439f32573a873428a257397aa257397aa0b842673,1,0,1,1,0
73,73,0,3af3267358f888c0410868f43af32673a973438a267398aa267398aa0c842773,1,0,1,1,0
74,74,0,3bf3277359f889c0420869f43bf32773aa73448a277399aa277399aa0d842873,1,0,1,1,0
75,75,0,3cf328735af88ac043086af43cf32873ab73458a28739aaa28739aaa0e842973,1,0,1,1,0
76,76,0,3df329735bf88bc044086bf43df32973ac73468a29739baa29739baa0f842a73,1,0,1,1,0
77,77,0,3ef32a735cf88cc045086cf43ef32a73ad73478a2a739caa2a739caa10842b73,1,0,1,1,0
78,78,0,3ff32b735df88dc046086df43ff32b73ae73488a2b739daa2b739daa11842c73,1,0,1,1,0
79,79,0,40f32c735ef88ec047086ef440f32c73af73498a2c739eaa2c739eaa12842d73,1,0,1,0,0
80,80,0,41f32d735ff88fc048086ff441f32d73b0734a8a2d739faa2d739faa13842e73,1,0,1,0,0
81,81,0,42f32e7360f890c0490870f442f32e73b1734b8a2e73a0aa2e73a0aa14842f73,1,0,1,0,0
82,82,0,43f32f7361f891c04a0871f443f32f73b2734c8a2f73a1aa2f73a1aa15843073,1,0,1,0,0
83,83,0,44f3307362f892c04b0872f444f33073b3734d8a3073a2aa3073a2aa16843173,1,0,1,0,0
84,84,0,45f3317363f893c04c0873f445f33173b4734e8a3173a3aa3173a3aa17843273,1,0,1,0,0
85,85,0,46f3327364f894c04d0874f446f33273b5734f8a3273a4aa3273a4aa18843373,1,0,1,0,0
86,86,0,47f3337365f895c04e0875f447f33373b673508a3373a5aa3373a5aa19843473,1,0,1,0,0
87,87,0,48f3347366f896c04f0876f448f33473b773518a3473a6aa3473a6aa1a843573,1,0,1,0,0
88,88,0,49f3357367f897c0500877f449f33573b873528a3573a7aa3573a7aa1b843673,1,0,1,0,0
89,89,0,4af3367368f898c0510878f44af33673b973538a3673a8aa3673a8aa1c843773,1,0,1,0,0
90,90,0,4bf3377369f899c0520879f44bf33773ba73548a3773a9aa3773a9aa1d843873,1,0,1,0,0
91,91,0,4cf338736af89ac053087af44cf33873bb73558a3873aaaa3873aaaa1e843973,1,0,1,0,0
92,92,0,4df339736bf89bc054087bf44df33973bc73568a3973abaa3973abaa1f843a73,1,0,1,0,0
93,93,0,4ef33a736cf89cc055087cf44ef33a73bd73578a3a73acaa3a73acaa20843b73,1,0,1,0,0
94,94,0,4ff33b736df89dc056087df44ff33b73be73588a3b73adaa3b73adaa21843c73,1,0,1,0,0
95,95,0,50f33c736ef89ec057087ef450f33c73bf73598a3c73aeaa3c73aeaa22843d73,1,0,1,0,0
96,96,0,51f33d736ff89fc058087ff451f33d73c0735a8a3d73afaa3d73afaa23843e73,1,0,1,0,0
97,97,0,52f33e7370f8a0c0590880f452f33e73c1735b8a3e73b0aa3e73b0aa24843f73,1,0,1,0,0
98,98,0,53f33f7371f8a1c05a0881f453f33f73c2735c8a3f73b1aa3f73b1aa25844073,1,0,1,0,0
99,99,0,54f3407372f8a2c05b0882f454f34073c3735d8a4073b2aa4073b2aa26844173,1,0,1,0,0
100,100,0,55f3417373f8a3c05c0883f455f34173c4735e8a4173b3aa4173b3aa27844273,1,0,1,0,0
101,101,0,56f3427374f8a4c05d0884f456f34273c5735f8a4273b4aa4273b4aa28844373,1,0,1,0,0
102,102,0,57f3437375f8a5c05e0885f457f34373c673608a4373b5aa4373b5aa29844473,1,0,1,0,0
103,103,0,58f3447376f8a6c05f0886f458f34473c773618a4473b6aa4473b6aa2a844573,1,0,1,1,0
104,104,0,59f3457377f8a7c0600887f459f34573c873628a4573b7aa4573b7aa2b844673,1,0,1,1,0
105,105,0,5af3467378f8a8c0610888f45af34673c973638a4673b8aa4673b8aa2c844773,1,0,1,1,0
106,106,0,5bf3477379f8a9c0620889f45bf34773ca73648a4773b9aa4773b9aa2d844873,1,0,1,1,0
107,107,0,5cf348737af8aac063088af45cf34873cb73658a4873baaa4873baaa2e844973,1,0,1,1,0
108,108,0,5df349737bf8abc064088bf45df34973cc73668a4973bbaa4973bbaa2f844a73,1,0,1,1,0
109,109,0,5ef34a737cf8acc065088cf45ef34a73cd73678a4a73bcaa4a73bcaa30844b73,1,0,1,1,0
110,110,0,5ff34b737df8adc066088df45ff34b73ce73688a4b73bdaa4b73bdaa31844c73,1,0,1,1,0
111,111,0,60f34c737ef8aec067088ef460f34c73cf73698a4c73beaa4c73beaa32844d73,1,0,1,1,0
112,112,0,61f34d737ff8afc068088ff461f34d73d0736a8a4d73bfaa4d73bfaa33844e73,1,0,1,1,0
113,113,0,62f34e7380f8b0c0690890f462f34e73d1736b8a4e73c0aa4e73c0aa34844f73,1,0,1,1,0
114,114,0,63f34f7381f8b1c06a0891f463f34f73d2736c8a4f73c1aa4f73c1aa35845073,1,0,1,1,0
115,115,0,64f3507382f8b2c06b0892f464f35073d3736d8a5073c2aa5073c2aa36845173,1,0,1,1,0
116,116,0,65f3517383f8b3c06c0893f465f35173d4736e8a5173c3aa5173c3aa37845273,1,0,1,1,0
117,117,0,66f3527384f8b4c06d0894f466f35273d5736f8a5273c4aa5273c4aa38845373,1,0,1,1,0
118,118,0,67f3537385f8b5c06e0895f467f35373d673708a5373c5aa5373c5aa39845473,1,0,1,1,0
119,119,0,68f3547386f8b6c06f0896f468f35473d773718a5473c6aa5473c6aa3a845573,1,0,1,1,0
120,120,0,69f3557387f8b7c0700897f469f35573d873728a5573c7aa5573c7aa3b845673,1,0,1,1,0
121,121,0,6af3567388f8b8c0710898f46af35673d973738a5673c8aa5673c8aa3c845773,1,0,1,1,0
122,122,0,6bf3577389f8b9c0720899f46bf35773da73748a5773c9aa5773c9aa3d845873,1,0,1,1,0
123,123,0,6cf358738af8bac073089af46cf35873db73758a5873caaa5873caaa3e845973,1,0,1,1,0
124,124,0,6df359738bf8bbc074089bf46df35973dc73768a5973cbaa5973cbaa3f845a73,1,0,1,1,0
125,125,0,6ef35a738cf8bcc075089cf46ef35a73dd73778a5a73ccaa5a73ccaa40845b73,1,0,1,1,0
126,126,0,6ff35b738df8bdc076089df46ff35b73de73788a5b73cdaa5b73cdaa41845c73,1,0,1,1,0
127,127,0,70f35c738ef8bec077089ef470f35c73df73798a5c73ceaa5c73ceaa42845d73,1,0,1,0,0
128,128,0,71f35d738ff8bfc078089ff471f35d73e0737a8a5d73cfaa5d73cfaa43845e73,1,0,1,0,0
129,129,0,72f35e7390f8c0c07908a0f472f35e73e1737b8a5e73d0aa5e73d0aa44845f73,1,0,1,0,0
130,130,0,73f35f7391f8c1c07a08a1f473f35f73e2737c8a5f73d1aa5f73d1aa45846073,1,0,1,0,0
131,131,0,74f3607392f8c2c07b08a2f474f36073e3737d8a6073d2aa6073d2aa46846173,1,0,1,0,0
132,132,0,75f3617393f8c3c07c08a3f475f36173e4737e8a6173d3aa6173d3aa47846273,1,0,1,0,0
133,133,0,76f3627394f8c4c07d08a4f476f36273e5737f8a6273d4aa6273d4aa48846373,1,0,1,0,0
134,134,0,77f3637395f8c5c07e08a5f477f36373e673808a6373d5aa6373d5aa49846473,1,0,1,0,0
135,135,0,78f3647396f8c6c07f08a6f478f36473e773818a6473d6aa6473d6aa4a846573,1,0,1,0,0
136,136,0,79f3657397f8c7c08008a7f479f36573e873828a6573d7aa6573d7aa4b846673,1,0,1,0,0
137,137,0,7af3667398f8c8c08108a8f47af36673e973838a6673d8aa6673d8aa4c846773,1,0,1,0,0
138,138,0,7bf3677399f8c9c08208a9f47bf36773ea73848a6773d9aa6773d9aa4d846873,1,0,1,0,0
139,139,0,7cf368739af8cac08308aaf47cf36873eb73858a6873daaa6873daaa4e846973,1,0,1,0,0
140,140,0,7df369739bf8cbc08408abf47df36973ec73868a6973dbaa6973dbaa4f846a73,1,0,1,0,0
141,141,0,7ef36a739cf8ccc08508acf47ef36a73ed73878a6a73dcaa6a73dcaa50846b73,1,0,1,0,0
142,142,0,7ff36b739df8cdc08608adf47ff36b73ee73888a6b73ddaa6b73ddaa51846c73,1,0,1,0,0
143,143,0,80f36c739ef8cec08708aef480f36c73ef73898a6c73deaa6c73deaa52846d73,1,0,1,0,0
144,144,0,81f36d739ff8cfc08808aff481f36d73f0738a8a6d73dfaa6d73dfaa53846e73,1,0,1,0,0
145,145,0,82f36e73a0f8d0c08908b0f482f36e73f1738b8a6e73e0aa6e73e0aa54846f73,1,0,1,0,0
146,146,0,83f36f73a1f8d1c08a08b1f483f36f73f2738c8a6f73e1aa6f73e1aa55847073,1,0,1,0,0
147,147,0,84f37073a2f8d2c08b08b2f484f37073f3738d8a7073e2aa7073e2aa56847173,1,0,1,0,0
148,148,0,85f37173a3f8d3c08c08b3f485f37173f4738e8a7173e3aa7173e3aa57847273,1,0,1,0,0
149,149,0,86f37273a4f8d4c08d08b4f486f37273f5738f8a7273e4aa7273e4aa58847373,1,0,1,0,0
150,150,0,87f37373a5f8d5c08e08b5f487f37373f673908a7373e5aa7373e5aa59847473,1,0,1,0,0
151,151,0,88f37473a6f8d6c08f08b6f488f37473f773918a7473e6aa7473e6aa5a847573,1,0,1,1,0
152,152,0,89f37573a7f8d7c09008b7f489f37573f873928a7573e7aa7573e7aa5b847673,1,0,1,1,0
153,153,0,8af37673a8f8d8c09108b8f48af37673f973938a7673e8aa7673e8aa5c847773,1,0,1,1,0
154,154,0,8bf37773a9f8d9c09208b9f48bf37773fa73948a7773e9aa7773e9aa5d847873,1,0,1,1,0
155,155,0,8cf37873aaf8dac09308baf48cf37873fb73958a7873eaaa7873eaaa5e847973,1,0,1,1,0
156,156,0,8df37973abf8dbc09408bbf48df37973fc73968a7973ebaa7973ebaa5f847a73,1,0,1,1,0
157,157,0,8ef37a73acf8dcc09508bcf48ef37a73fd73978a7a73ecaa7a73ecaa60847b73,1,0,1,1,0
158,158,0,8ff37b73adf8ddc09608bdf48ff37b73fe73988a7b73edaa7b73edaa61847c73,1,0,1,1,0
159,159,0,90f37c73aef8dec09708bef490f37c73ff73998a7c73eeaa7c73eeaa62847d73,1,0,1,1,0
160,160,0,91f37d73aff8dfc09808bff491f37d7300749a8a7d73efaa7d73efaa63847e73,1,0,1,1,0
161,161,0,92f37e73b0f8e0c09908c0f492f37e7301749b8a7e73f0aa7e73f0aa64847f73,1,0,1,1,0
162,162,0,93f37f73b1f8e1c09a08c1f493f37f7302749c8a7f73f1aa7f73f1aa65848073,1,0,1,1,0
163,163,0,94f38073b2f8e2c09b08c2f494f3807303749d8a8073f2aa8073f2aa66848173,1,0,1,1,0
164,164,0,95f38173b3f8e3c09c08c3f495f3817304749e8a8173f3aa8173f3aa67848273,1,0,1,1,0
165,165,0,96f38273b4f8e4c09d08c4f496f3827305749f8a8273f4aa8273f4aa68848373,1,0,1,1,0
166,166,0,97f38373b5f8e5c09e08c5f497f383730674a08a8373f5aa8373f5aa69848473,1,0,1,1,0
167,167,0,98f38473b6f8e6c09f08c6f498f384730774a18a8473f6aa8473f6aa6a848573,1,0,1,1,0
168,168,0,99f38573b7f8e7c0a008c7f499f385730874a28a8573f7aa8573f7aa6b848673,1,0,1,1,0
169,169,0,9af38673b8f8e8c0a108c8f49af386730974a38a8673f8aa8673f8aa6c848773,1,0,1,1,0
170,170,0,9bf38773b9f8e9c0a208c9f49bf387730a74a48a8773f9aa8773f9aa6d848873,1,0,1,1,0
171,171,0,9cf38873baf8eac0a308caf49cf388730b74a58a8873faaa8873faaa6e848973,1,0,1,1,0
172,172,0,9df38973bbf8ebc0a408cbf49df389730c74a68a8973fbaa8973fbaa6f848a73,1,0,1,1,0
173,173,0,9ef38a73bcf8ecc0a508ccf49ef38a730d74a78a8a73fcaa8a73fcaa70848b73,1,0,1,1,0
174,174,0,9ff38b73bdf8edc0a608cdf49ff38b730e74a88a8b73fdaa8b73fdaa71848c73,1,0,1,1,0
175,175,0,a0f38c73bef8eec0a708cef4a0f38c730f74a98a8c73feaa8c73feaa72848d73,1,0,1,0,0
176,176,0,a1f38d73bff8efc0a808cff4a1f38d731074aa8a8d73ffaa8d73ffaa73848e73,1,0,1,0,0
177,177,0,a2f38e73c0f8f0c0a908d0f4a2f38e731174ab8a8e7300ab8e7300ab74848f73,1,0,1,0,0
178,178,0,a3f38f73c1f8f1c0aa08d1f4a3f38f731274ac8a8f7301ab8f7301ab75849073,1,0,1,0,0
179,179,0,a4f39073c2f8f2c0ab08d2f4a4f390731374ad8a907302ab907302ab76849173,1,0,1,0,0
180,180,0,a5f39173c3f8f3c0ac08d3f4a5f391731474ae8a917303ab917303ab77849273,1,0,1,0,0
181,181,0,a6f39273c4f8f4c0ad08d4f4a6f392731574af8a927304ab927304ab78849373,1,0,1,0,0
182,182,0,a7f39373c5f8f5c0ae08d5f4a7f393731674b08a937305ab937305ab79849473,1,0,1,0,0
183,183,0,a8f39473c6f8f6c0af08d6f4a8f394731774b18a947306ab947306ab7a849573,1,0,1,0,0
184,184,0,a9f39573c7f8f7c0b008d7f4a9f395731874b28a957307ab957307ab7b849673,1,0,1,0,0
185,185,0,aaf39673c8f8f8c0b108d8f4aaf396731974b38a967308ab967308ab7c849773,1,0,1,0,0
186,186,0,abf39773c9f8f9c0b208d9f4abf397731a74b48a977309ab977309ab7d849873,1,0,1,0,0
187,187,0,acf39873caf8fac0b308daf4acf398731b74b58a98730aab98730aab7e849973,1,0,1,0,0
188,188,0,adf39973cbf8fbc0b408dbf4adf399731c74b68a99730bab99730bab7f849a73,1,0,1,0,0
