Sample in Buffer,Sample in Window,TRIGGER,sysref,tx_ready,tx_data[127:0],rx_sync_0_OBUF,tx_sync_0_IBUF,rx_valid_1,locked,rst_204,rx_valid,rx_data[127:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
90,90,0,0,1,c69250e3c69250e4c69250e5c69250e6,0,1,0,1,0,0,00000000000000000000000000000000
91,91,0,0,1,c69250e4c69250e5c69250e6c69250e7,0,1,0,1,0,0,00000000000000000000000000000000
92,92,0,0,1,c69250e5c69250e6c69250e7c69250e8,0,1,0,1,0,0,00000000000000000000000000000000
93,93,0,0,1,c69250e6c69250e7c69250e8c69250e9,0,1,0,1,0,0,00000000000000000000000000000000
94,94,0,0,1,c69250e7c69250e8c69250e9c69250ea,0,1,0,1,0,0,00000000000000000000000000000000
95,95,0,0,1,c69250e8c69250e9c69250eac69250eb,0,1,0,1,0,0,00000000000000000000000000000000
96,96,0,0,1,c69250e9c69250eac69250ebc69250ec,0,1,0,1,0,0,00000000000000000000000000000000
97,97,0,0,1,c69250eac69250ebc69250ecc69250ed,0,1,0,1,0,0,00000000000000000000000000000000
98,98,0,0,1,c69250ebc69250ecc69250edc69250ee,0,1,0,1,0,0,00000000000000000000000000000000
99,99,0,0,1,c69250ecc69250edc69250eec69250ef,0,1,0,1,0,0,00000000000000000000000000000000
100,100,1,1,1,c69250edc69250eec69250efc69250f0,0,1,0,1,0,0,00000000000000000000000000000000
101,101,0,1,1,c69250eec69250efc69250f0c69250f1,0,1,0,1,0,0,00000000000000000000000000000000
102,102,0,1,1,c69250efc69250f0c69250f1c69250f2,0,1,0,1,0,0,00000000000000000000000000000000
103,103,0,1,1,c69250f0c69250f1c69250f2c69250f3,0,1,0,1,0,0,00000000000000000000000000000000
104,104,0,1,1,c69250f1c69250f2c69250f3c69250f4,0,1,0,1,0,0,00000000000000000000000000000000
105,105,0,1,1,c69250f2c69250f3c69250f4c69250f5,0,1,0,1,0,0,00000000000000000000000000000000
106,106,0,1,1,c69250f3c69250f4c69250f5c69250f6,0,1,0,1,0,0,00000000000000000000000000000000
107,107,0,1,1,c69250f4c69250f5c69250f6c69250f7,0,1,0,1,0,0,00000000000000000000000000000000
108,108,0,1,1,c69250f5c69250f6c69250f7c69250f8,0,1,0,1,0,0,00000000000000000000000000000000
109,109,0,1,1,c69250f6c69250f7c69250f8c69250f9,0,1,0,1,0,0,00000000000000000000000000000000
110,110,0,1,1,c69250f7c69250f8c69250f9c69250fa,0,1,0,1,0,0,00000000000000000000000000000000
111,111,0,1,1,c69250f8c69250f9c69250fac69250fb,0,1,0,1,0,0,00000000000000000000000000000000
112,112,0,1,1,c69250f9c69250fac69250fbc69250fc,0,1,0,1,0,0,00000000000000000000000000000000
113,113,0,1,1,c69250fac69250fbc69250fcc69250fd,0,1,0,1,0,0,00000000000000000000000000000000
114,114,0,1,1,c69250fbc69250fcc69250fdc69250fe,0,1,0,1,0,0,00000000000000000000000000000000
115,115,0,1,1,c69250fcc69250fdc69250fec69250ff,0,1,0,1,0,0,00000000000000000000000000000000
116,116,0,1,1,c69250fdc69250fec69250ffc6925100,0,1,0,1,0,0,00000000000000000000000000000000
117,117,0,1,1,c69250fec69250ffc6925100c6925101,0,1,0,1,0,0,00000000000000000000000000000000
118,118,0,1,1,c69250ffc6925100c6925101c6925102,0,1,0,1,0,0,00000000000000000000000000000000
119,119,0,1,1,c6925100c6925101c6925102c6925103,0,1,0,1,0,0,00000000000000000000000000000000
120,120,0,1,1,c6925101c6925102c6925103c6925104,0,1,0,1,0,0,00000000000000000000000000000000
121,121,0,1,1,c6925102c6925103c6925104c6925105,0,1,0,1,0,0,00000000000000000000000000000000
122,122,0,1,1,c6925103c6925104c6925105c6925106,0,1,0,1,0,0,00000000000000000000000000000000
123,123,0,1,1,c6925104c6925105c6925106c6925107,0,1,0,1,0,0,00000000000000000000000000000000
